# k-mer count file
# 2016-05-27 20:47
# # file_identifier:	'.fna'
#  input_file:	'/local10G/jdeaton/data/bacteria_genomes_2'
#  kmer_length:	4
#  output_file:	'bacteria_2_4mers.csv'
#  sample:	0
#  symbols:	'ATGC'
#  verbose:	True
CP000084.1,37220,24333,12394,8896,17855,23993,8801,7348,11496,7806,3927,4935,8739,8770,1670,4193,16391,12828,5952,4595,17494,23946,9306,6645,8115,5231,5138,3859,9067,9075,1536,3484,10424,9260,4419,2838,5288,8902,2949,2150,3850,4311,1496,1681,5841,5714,887,1930,7898,5252,3621,2624,5237,7600,3526,2791,1436,1072,686,667,5693,4291,813,1914,22926,17549,5787,6278,9483,17537,5174,6849,7699,5191,2684,3701,5353,5361,994,3466,21816,16169,7984,6276,22821,36163,11205,10994,9851,7764,6378,5832,10102,10120,1238,4816,10077,9406,3206,2469,5254,8377,2750,2545,6341,5838,2418,2363,6223,5734,773,1966,9973,7915,4235,2848,7375,11333,4273,3355,1284,1316,566,608,6081,3769,496,1450,11295,6762,5282,3447,7243,7303,5429,3882,3405,2795,2026,2232,2611,2086,632,1750,6404,4396,2606,1632,6063,9091,4768,3264,3010,2483,2319,1792,2444,2803,523,1306,5039,3533,2329,1266,3471,4344,3374,1714,1432,1962,884,857,1990,1982,508,794,6089,3720,3246,1793,3621,4846,3559,2278,642,655,467,495,2240,1664,417,851,11402,9353,4701,4751,5185,8558,2939,5083,4341,3497,2701,3504,2692,2938,565,3302,7929,5650,2733,2671,5867,11983,4546,5373,4182,3448,3125,3213,3357,4338,477,2190,1246,1658,504,506,1025,1563,531,667,544,792,337,373,794,874,91,482,6247,4878,2941,2232,2750,3990,2610,1938,552,743,327,471,2284,1564,367,858
GG666849.1,3962,4207,4042,5045,3816,3179,6139,8638,7140,5170,10235,9565,7511,4642,10392,7418,2943,4740,2817,5182,2543,4307,6859,8554,10312,6795,12225,11851,10414,6391,16400,8913,7388,6438,3393,6563,3467,4519,4868,5958,8355,7206,5980,11766,10035,7824,11345,10911,6433,6713,6084,6812,2357,4868,7045,4847,11744,8484,13494,13724,11680,7362,16186,6968,1326,2306,2271,2060,1781,3746,5047,5499,1899,2010,2358,2932,4096,3520,7238,5317,1101,2952,895,3083,1393,3940,5361,6542,8279,5569,9650,9485,8158,6782,14455,10099,8771,10871,7804,10306,3729,7531,7338,7391,10751,11926,8677,18265,8038,10525,14190,15890,8577,10009,8494,9125,2130,6186,7760,6810,15882,11762,16495,15979,10349,7808,12940,6361,6683,8431,12725,12552,5463,9345,17088,11003,7139,4835,10015,12225,7792,6115,15318,13155,2952,5333,4573,6560,2088,5070,9717,12725,9566,7087,14858,13706,10121,6328,15720,9192,9887,9043,8974,9343,5151,7288,16619,12838,6239,6786,5693,12702,16038,10887,25462,22480,10147,12020,13630,12584,3096,9079,16618,12277,15705,14461,19921,21044,18045,11271,33090,12549,5286,6829,13072,10307,4621,5994,12908,16977,7605,6800,10697,15390,6643,4840,14501,16309,968,3048,911,5345,2008,3918,11046,11673,9595,6535,12889,13596,7509,3385,13548,9254,14349,16548,14041,16171,7072,10265,16395,15174,11902,15983,11069,32129,14265,11835,20138,25670,10333,11760,12284,13769,2690,8512,11190,9765,17776,14197,21175,21158,8071,5720,12090,5504
CP000082.1,28566,20265,16865,14145,21609,13797,14185,14021,12457,11470,8720,17558,10642,9467,9474,9615,21267,18097,11794,12299,17554,20468,17626,8845,16676,8809,12615,12906,20978,11534,12312,6843,9157,11468,6728,7758,11425,9211,8618,8073,4514,8077,3984,8029,17680,13737,12848,10319,11230,8552,8916,6096,8745,11731,11450,6003,7618,7648,6485,9787,15062,8079,8623,5914,22035,17216,11086,10036,13016,21951,12151,18070,8424,8485,5545,11661,7895,11582,8164,11139,17950,21887,10422,10959,22217,28014,19527,9569,18211,11226,15329,17089,12648,9029,5386,3987,12661,20951,11102,12797,7926,10979,7237,9106,6523,15534,6774,14861,11769,17585,9371,13160,18175,16427,12955,10111,8552,12257,8769,5361,7556,7812,5072,8989,6423,4551,3238,2658,9685,8486,8204,4624,17432,14201,14558,5303,5435,6022,3667,9163,8924,8160,7047,7560,10855,12615,7028,8285,10324,14324,10608,4506,9883,6307,7488,8919,13022,7801,7402,3848,3880,6860,2168,3661,11293,10211,9918,7456,2470,6080,2216,4950,13155,10194,9810,1855,17095,13014,12919,8860,12114,17262,15858,9063,9071,9598,7898,12555,14872,8065,7198,4848,19555,17645,14050,10393,11400,14545,10112,14273,8795,11350,6672,16202,7333,8720,6853,9364,10301,12589,4871,7237,11122,16521,14094,8130,12741,8906,8260,12971,11020,6575,4329,2192,5301,12215,4289,7475,8139,9361,6824,7438,3062,9187,2742,7174,9284,12781,7093,9649,15143,12337,8229,7203,5587,8617,6801,3689,5035,6704,2710,7476,6555,3999,2866,2267
CP001878.2,49368,38562,32350,23128,32722,33087,28072,25049,32122,20310,18556,24946,24016,16254,14953,13935,32791,26901,14775,17412,30364,38992,25529,23411,29059,18449,17496,16171,29416,22354,15489,15853,30598,21370,16663,10833,15649,16462,12844,9870,17528,13404,9934,10831,22185,23045,11856,12313,22271,18563,14604,10509,11748,21132,11096,11591,13376,10594,9153,7446,14344,13352,9421,8130,37664,31981,17897,17059,20446,32114,18730,19333,17529,12010,10052,12216,18639,16202,10639,11371,35773,32100,16967,18107,38521,52987,28393,31744,28970,23460,16058,20134,33489,33203,12345,19728,31960,28986,15052,12979,19097,24836,11292,12149,16817,14169,8703,11393,18861,23617,8751,12220,29212,30759,15515,15697,18316,34795,15196,16482,10659,13856,7933,9549,17094,18955,9273,10827,29420,23017,25616,14652,19321,24356,20206,16933,15577,11229,11409,13221,11834,9956,7539,8243,18363,17235,10520,10689,16584,24218,14431,15480,15534,10299,7888,9140,12852,11140,6613,7768,18238,15355,12136,7167,11258,14038,11381,8451,9918,8111,6660,5985,11874,12383,6928,5535,19360,16454,16756,9157,11986,25878,19633,13634,9208,7342,9307,5952,11477,11248,8565,6193,26956,25370,20072,14319,19390,28739,14167,21797,14236,11276,11680,19016,11458,13155,7438,11698,17674,14387,9545,10643,17477,35448,20269,28130,15413,15166,9640,18004,15426,18092,7550,12800,11909,15105,7585,6593,10803,15377,7344,7903,8633,9444,5377,8511,8807,12086,4274,7415,15875,18318,9333,8386,10198,19519,12298,12161,7949,9635,5572,9635,8997,10621,5532,7294
CP000086.1,8347,8898,7797,9355,4866,7749,10114,16418,13122,8671,16064,26029,13135,9649,29435,12374,2662,4161,5765,7806,2626,9198,10175,17896,15748,12552,15402,33616,22565,18165,64358,22803,13713,18348,6676,11754,4856,9697,7375,9719,15080,13347,9086,27750,29063,20227,62232,32231,9648,12370,14041,13430,3357,8766,11092,7636,47944,29133,39179,64527,10212,12284,33047,8978,2334,2572,1947,2276,1911,4970,4862,9145,4554,3428,2659,7041,6831,4716,16443,6487,1433,2642,1240,4085,2362,9023,7621,17645,13317,9777,7294,26624,19185,13607,52699,18499,19383,22985,11290,17429,6953,13423,9360,21204,12453,11015,11434,23914,23325,29087,61406,38809,13427,15453,19357,21397,4701,13071,15005,16768,76636,48369,58800,95148,12227,14294,34316,10684,16680,17551,35076,34067,8993,16839,40112,64622,17586,8167,20705,61491,20562,9360,80191,23940,3848,8090,9402,13245,2462,10143,19683,34566,22422,14509,16957,44769,17042,11497,87887,18682,18436,23664,13208,19184,6684,13259,24528,24669,11624,9840,12983,48505,38207,32821,120104,55755,25419,32580,49037,42226,7069,26696,49858,59553,97024,67318,109491,203847,22583,26428,144955,44727,7036,10126,19066,18895,4624,10337,22229,37707,15229,11381,25835,49192,8961,7126,54714,21720,1186,5995,1275,9341,1950,8288,19533,33883,19600,14102,19163,47618,10841,6276,74009,11537,51842,65569,76775,85686,16092,30475,57394,79516,35335,34938,49449,146718,58667,61041,233938,111898,6629,14494,19202,15468,2670,15121,24528,18706,58268,38657,58970,102022,10771,8019,45599,10635
AE005673.1,3763,3107,6099,5009,2039,1860,3958,4675,10686,5773,18628,16528,8212,6006,12631,9585,1425,2531,6604,2196,864,3095,4566,3908,11229,7535,14654,11235,15472,11426,27367,14997,9384,11723,7446,12125,2416,5993,3643,7439,13394,14559,17224,30822,14021,14122,26714,21908,6198,7912,9364,6770,2446,5757,6701,4554,17095,8908,20398,26208,15689,14481,24136,13906,1341,851,1894,1665,1379,1972,3933,5112,4142,2485,4955,4836,3087,2459,5671,2983,1125,1446,1451,1768,1348,3802,4662,8072,9752,6148,13599,10270,12081,9264,20177,12249,12250,14967,8018,15699,2864,7841,5275,13322,15272,15407,17456,34116,9060,13373,21005,14534,9929,11357,17510,12637,4064,10623,13090,12447,32921,17031,32891,36936,15513,13384,18350,10754,7977,3750,24013,18402,5191,4631,20629,38468,12493,4506,19961,20588,13526,7395,34990,32475,1732,2213,6224,3833,1648,4918,10841,18105,12507,6498,17489,13972,15679,12190,41764,18632,12345,14982,11928,18698,2932,9504,22613,32415,10759,13706,16071,40528,14884,21660,80431,62666,10775,11282,23141,14303,4814,16522,34087,20759,36699,25994,53938,71949,34351,30235,73802,41416,4897,4825,19609,11358,4147,3970,16133,21007,13357,6727,32455,34813,5419,3598,19317,23169,1469,6206,2139,6403,1930,6069,19700,23686,17446,9121,36509,22495,8201,7344,30471,12123,20162,27247,30156,41864,5790,12174,18935,35089,18528,23792,30313,74175,21536,27027,60430,80696,13787,14706,37337,17793,4893,18483,31693,20379,32714,20055,39581,54596,18070,17348,30658,16401
CP000097.1,10779,8416,8925,8995,4155,8337,8166,11046,8683,5747,9788,12251,10290,7027,10226,9694,3568,3365,2775,2715,4004,8457,10769,8526,7634,5346,11554,9420,14060,7655,13716,10921,7643,7653,6494,5592,2590,6922,6751,5372,7209,6781,8512,10125,12352,10396,10992,12381,8906,5353,7425,5803,2400,5917,7582,6192,8215,5137,8728,8241,11594,6828,9019,8083,4540,4104,3180,3041,1328,4566,3025,4147,2790,2332,2777,3473,3342,2785,3314,3312,4628,3968,3172,3650,4923,11651,12640,9277,13608,8955,15448,13053,12082,8144,9460,9723,12218,14057,9826,6761,3237,10478,7307,6634,12551,12013,10853,16513,10659,12315,9322,12264,13915,7507,11423,10251,2994,8972,8611,7774,12901,8424,9939,11203,12437,7637,8083,8628,9035,8411,11435,9899,4001,10903,14383,16851,7606,6030,9158,12112,6598,5399,9009,7691,3610,2749,3323,2779,3173,9217,15009,9909,10317,5892,11653,9024,6880,5784,10229,6244,9552,10792,9640,6108,3310,9804,15000,7827,8303,8051,8538,10607,12161,12284,12588,13270,13196,9359,13215,9123,3557,12244,17796,12258,11207,8365,11192,10070,16740,10241,13005,10386,12761,10773,12929,15303,2939,7950,8380,14308,8303,7526,10904,18285,7257,6880,7772,14827,3059,2984,2102,3609,3318,9166,12646,11697,11303,7463,13275,13063,10074,6768,9062,9897,9367,13636,8946,10236,3324,10104,7828,9304,8029,9095,7596,13058,9721,10860,7932,12457,15749,11358,12955,11559,2803,9694,11115,9577,9862,8634,7919,11456,10850,8483,7764,8526
AE005674.2,37756,26786,23538,25857,21234,19197,22618,21729,17610,13705,14434,20727,23083,17012,24627,21174,22357,19580,9410,14509,19614,26347,21357,17710,21713,15103,20994,22397,28601,17351,24082,18963,19899,17247,11896,11493,11435,16935,14698,10381,12115,14131,9264,17418,24104,14673,27355,18701,17637,15197,18301,12168,7084,13852,22411,10546,15054,15412,18815,26597,24643,14105,25762,12580,23082,19327,10573,18025,9806,21295,14138,21047,5852,7016,4239,10910,11661,11439,14925,17985,21512,22621,7689,19409,23063,37086,24389,28429,19863,17376,13619,27243,27215,19595,19504,21161,27113,28562,13324,19716,11623,22904,13630,14406,17878,24372,13743,32392,20253,23747,25522,28411,19663,21972,27227,19892,5794,17634,24013,12858,15181,15109,16224,25180,18087,12000,18155,12038,28764,17684,22024,19483,20552,21846,27228,18710,12768,10516,8895,14575,14321,10397,19099,14124,19343,14424,9468,12671,17976,25649,22234,19252,19915,11878,18771,18441,19394,11510,17519,9082,21292,18542,11111,9165,17836,20433,23564,13945,11951,12237,9412,15651,28102,18909,33959,13265,27059,22245,30232,18828,11081,20758,38240,14573,25093,26038,27955,34864,32489,17540,28573,16365,24335,20981,10341,22531,14264,22690,16222,27511,24305,22212,25360,38620,14238,15045,17227,23807,7795,9661,1450,9421,10578,23885,10121,22085,27224,18206,35001,29852,13544,11843,10589,11074,19651,23985,10423,17568,15012,24839,17113,18773,18166,25038,16832,28774,25905,27323,27114,34590,13829,21273,34736,19430,4368,14425,25619,9073,16299,19178,25816,28291,14049,9840,17094,9740
CP000107.1,24087,19582,9508,8142,21515,17251,9242,7084,8846,8851,3222,4348,11028,8050,1448,3172,19687,20493,8518,9058,19466,19739,9143,6691,7987,9212,4046,4945,10637,8798,1103,3406,9682,8555,3176,2389,10075,7979,4203,2047,3879,3845,1160,1146,6729,4510,690,1088,10584,9536,4225,4386,8547,8853,4048,2976,1167,1893,538,901,5112,3937,510,1311,19000,19491,6562,7814,18982,21357,8340,8878,7604,8311,3354,4144,10275,9994,1572,4196,16639,19729,7414,8837,18870,23926,9456,8765,8484,10118,3976,5564,8503,9801,948,3574,8126,10330,3202,2666,10034,10726,4595,2664,4241,4941,1560,1415,6640,6433,963,1604,8637,8339,4211,3815,7675,8858,4482,2943,692,1236,396,568,4260,3875,512,1125,8531,6499,4622,2643,8596,7159,4675,2847,2904,2963,1337,1502,2759,2141,570,990,9026,8642,4428,3730,7579,7841,5076,2653,3736,4304,1970,2156,2705,2181,410,920,3612,3363,1924,1007,4111,3044,2497,890,1163,1247,510,459,1523,1086,295,352,5698,4879,3152,2139,4038,4364,2951,1428,502,863,355,373,1511,1172,222,433,9701,9520,4575,5099,8664,9272,3933,5135,4448,4179,2117,3023,4669,4239,909,2512,7515,8692,3053,4412,6704,9511,4467,4717,4117,4385,2165,2975,3157,3178,431,1872,875,1029,404,398,1606,1400,871,615,623,509,149,236,976,752,145,294,3976,4250,2179,1989,3412,3324,2161,1291,345,500,228,325,1511,1204,154,468
AE015924.1,17271,11541,15262,9721,11838,8104,10015,10611,15375,8359,10731,12343,7916,6894,8077,6327,9781,13003,10298,10644,6338,11358,11042,11321,11666,7912,11294,11241,12217,10484,14449,11866,13294,10490,11590,7647,7077,7054,5824,6632,11340,7128,6605,8140,11797,9728,7581,10706,10454,7510,8652,5416,4728,8269,6654,6800,10949,4850,9115,6101,6947,6786,8851,5100,6923,6417,5825,3745,9775,11752,9863,12689,5946,4714,4461,6295,8056,6998,8639,8144,3392,9841,3461,6287,6957,17287,13785,15697,10259,10414,10800,11591,10892,13234,15056,11454,11134,12348,7766,6699,7989,8203,7063,9485,10131,7235,6390,10728,10404,11944,7235,12496,9998,11523,9792,6336,5930,15363,9740,11717,12523,11237,13389,9214,10213,11251,12477,8142,15856,11479,14922,8458,12603,10506,13784,12361,11628,6880,9867,10932,9193,6680,7808,5724,6327,10755,7199,7813,3889,9902,7522,8693,6454,5587,7674,7517,6926,7696,8327,7046,11642,11763,11553,6865,8540,6439,7752,5951,7958,5312,5420,6293,12534,10729,6911,7528,11744,11104,11778,7412,6351,12250,10478,11031,8976,6110,6434,4842,10488,8265,12528,6286,13745,11131,10799,7290,9510,9697,8450,13355,10072,6634,8154,10242,6867,5879,6491,7489,3410,10480,459,7093,5797,15179,10715,14925,9568,8827,4716,11730,7614,11336,8531,11717,14645,14653,8398,8194,8488,8310,6593,7927,12394,9007,6568,12541,7303,7709,4635,6837,10769,10875,4880,7562,4433,10734,7969,9650,13442,9121,11572,6327,6438,6484,6606,5374
